Player Full Name,Birth Date,Year Start,Year End,Position,Height,Wingspan,Weight
Dave Deutsch,13.05.1945,1967,1967,G,185.4,,170
Dave Fedor,10.12.1940,1963,1963,F,198.1,,190
Dave Feitl,08.06.1962,1987,1992,C,210.8,,235
Dave Gambee,16.04.1937,1959,1970,F,198.1,,215
Dave Greenwood,27.05.1957,1980,1991,F-C,205.7,,222
Dave Gunther,22.07.1937,1963,1963,F,200.7,,190
Dave Henderson,21.07.1964,1988,1988,G,195.6,,195
Dave Hoppen,13.03.1964,1988,1993,C-F,210.8,,235
Dave Jamerson,13.08.1967,1991,1994,G-F,195.6,,190
Dave Johnson,16.11.1970,1993,1994,G-F,200.7,,210
Dave Lattin,23.12.1943,1968,1973,F-C,198.1,,225
Dave Magley,24.11.1959,1983,1983,F,203.2,,202
Dave Meyers,21.04.1953,1976,1980,F-C,203.2,,215
Dave Minor,23.02.2022,1952,1953,G-F,188,,185
Dave Newmark,11.09.1946,1969,1971,C,213.4,,240
Dave Piontek,27.08.1934,1957,1963,F-C,198.1,,230
Dave Popson,17.05.1964,1989,1992,F-C,208.3,,220
Dave Robisch,22.12.1949,1972,1984,C-F,208.3,,235
Dave Schellhase,14.10.1944,1967,1968,G,190.5,,205
Dave Scholz,12.04.1948,1970,1970,F,203.2,,220
Dave Sorenson,08.07.1948,1971,1973,F,203.2,,225
Dave Stallworth,20.12.1941,1966,1975,F-C,200.7,,200
Dave Twardzik,20.09.1950,1973,1980,G,185.4,,175
Dave Wohl,02.11.1949,1972,1978,G,188,,185
Dave Zeller,08.06.1939,1962,1962,G,185.4,,175
David Andersen,23.06.1980,2010,2011,C,210.8,,245
David Benoit,09.05.1968,1992,2001,F,203.2,,220
David Burns,03.07.1958,1982,1982,G,188,,180
David Bustion,30.08.1949,1973,1973,F,203.2,,215
David Cooke,27.09.1963,1986,1986,F,203.2,,230
David Gaines,27.02.1942,1968,1968,G,185.4,,170
David Harrison,15.08.1982,2005,2008,C,213.4,,280
David Lee,31.03.1942,1968,1969,F,200.7,213.4,225
David Lee,31.03.1942,2006,2017,F,205.7,213.4,245
David Noel,27.02.1984,2007,2007,F,198.1,207,230
David Nwaba,14.01.1993,2017,2018,G,193,,209
David Pope,15.04.1962,1985,1986,F,200.7,,220
David Rivers,20.01.1965,1989,1992,G,182.9,,170
David Robinson,06.08.1965,1990,2003,C,215.9,,235
David Stockton,24.06.1991,2015,2015,G,180.3,,165
David Thirdkill,12.04.1960,1983,1987,F-G,200.7,,195
David Thompson,13.07.1954,1976,1984,G-F,193,,195
David Vanterpool,31.03.1973,2001,2001,G,195.6,,200
David Vaughn,04.06.1952,1975,1976,C,210.8,,220
David Vaughn,04.06.1952,1996,1999,F,205.7,,240
David Wear,21.09.1990,2015,2015,F,208.3,,230
David Wesley,14.11.1970,1994,2007,G,182.9,,190
David West,29.08.1980,2004,2018,F,205.7,224.2,250
David Wingate,15.12.1963,1987,2001,G-F,195.6,,185
David Wood,30.11.1964,1989,1997,F,205.7,,227
Davis Bertans,12.11.1992,2017,2018,F,208.3,,210
De'Aaron Fox,20.12.1997,2018,2018,G,190.5,,170
Dean Garrett,27.11.1966,1997,2002,C,208.3,,225
Dean Meminger,13.05.1948,1972,1977,G,182.9,,175
Dean Oliver,05.11.1978,2002,2003,G,180.3,,180
Dean Tolson,25.11.1951,1975,1978,F,203.2,,190
DeAndre' Bembry,04.07.1994,2017,2018,F,198.1,,210
DeAndre Jordan,21.07.1988,2009,2018,C,210.8,228.6,265
DeAndre Liggins,31.03.1988,2012,2018,G,198.1,210.8,209
Deb Smith,07.01.2020,1947,1947,F,190.5,,180
Dedric Willoughby,27.05.1974,2000,2000,G-F,190.5,,180
Dee Brown,29.11.1968,1991,2002,G,185.4,188,160
Dee Brown,29.11.1968,2007,2009,G,182.9,188,185
Dee Gibson,25.08.2023,1950,1950,F-G,180.3,,175
Dejounte Murray,19.09.1996,2017,2018,G,195.6,,170
DeJuan Blair,22.04.1989,2010,2016,F-C,200.7,218.4,270
DeJuan Wheat,14.10.1973,1998,1999,G,182.9,,165
Del Beshore,29.11.1956,1979,1980,G,180.3,,165
Delaney Rudd,08.11.1962,1990,1993,G,188,,180
Dell Curry,25.06.1964,1987,2002,G,193,,190
Dell Demps,12.02.1970,1994,1997,G,190.5,,205
Delon Wright,26.04.1992,2016,2018,G,195.6,201.9,183
Delonte West,26.07.1983,2005,2012,G,193,198.1,180
DeMar DeRozan,07.08.1989,2010,2018,G-F,200.7,205.7,221
DeMarco Johnson,06.10.1975,2000,2000,F,205.7,,245
DeMarcus Cousins,13.08.1990,2011,2018,C-F,210.8,228,270
DeMarcus Nelson,02.11.1985,2009,2009,G,193,208.3,200
DeMarre Carroll,27.07.1986,2010,2018,F,203.2,208.3,215
Demetris Nichols,04.09.1984,2008,2009,F,203.2,214,216
Demetrius Calip,18.11.1969,1992,1992,G,185.4,,165
Demetrius Jackson,07.09.1994,2017,2018,G,185.4,196.9,201
Deng Gai,22.03.1982,2006,2006,F,205.7,224.8,250
Dennis Awtrey,22.02.1948,1971,1982,C,208.3,,235
Dennis Bell,02.06.1951,1974,1976,F,195.6,,185
Dennis Boyd,21.05.1954,1979,1979,G,185.4,,175
Dennis DuVal,31.03.1952,1975,1976,G,190.5,,175
Dennis Grey,26.08.1947,1969,1970,C-F,203.2,,215
Dennis Hamilton,08.05.1944,1968,1971,F,203.2,,210
Dennis Holman,08.10.1945,1968,1968,G,190.5,,175
Dennis Hopson,22.04.1965,1988,1992,G-F,195.6,,200
Dennis Horner,05.02.1988,2012,2012,F,205.7,,230
Dennis Johnson,18.09.1954,1977,1990,G,193,,185
Dennis Nutt,25.03.1963,1987,1987,G,188,,170
Dennis Rodman,13.05.1961,1987,2000,F,200.7,,210
Dennis Schroder,15.09.1993,2014,2018,G,185.4,202.6,172
Dennis Scott,05.09.1968,1991,2000,F,203.2,,229
Dennis Smith,25.11.1997,2018,2018,G,190.5,,195
Dennis Stewart,11.04.1947,1971,1971,F,198.1,,220
Dennis Van Zant,01.06.1952,1976,1976,F,205.7,,210
Dennis Wuycik,29.03.1950,1973,1975,F,198.1,,215
Denzel Valentine,16.11.1993,2017,2018,G,198.1,210.2,212
DeQuan Jones,20.06.1990,2013,2013,F,203.2,,221
Derek Anderson,18.07.1974,1998,2008,G,195.6,,194
Derek Fisher,09.08.1974,1997,2014,G,185.4,,200
Derek Grimm,03.08.1974,1998,1998,F,205.7,,230
Derek Harper,13.10.1961,1984,1999,G,193,,185
Derek Hood,22.12.1976,2000,2000,F,203.2,,222
Derek Smith,01.11.1961,1983,1991,G-F,198.1,,205
Derek Strong,09.02.1968,1992,2001,F,203.2,,220
DerMarr Johnson,05.05.1980,2001,2008,F,205.7,,201
Dermie O'Connell,13.04.2028,1949,1950,G,182.9,,174
Deron Williams,26.06.1984,2006,2017,G,190.5,198.8,200
Derrek Dickey,20.03.1951,1974,1978,F,200.7,,218
Derrick Alston,20.08.1972,1995,1997,F,210.8,,225
Derrick Brown,08.09.1987,2010,2012,F,200.7,219.7,225
Derrick Byars,25.04.1984,2012,2012,F,200.7,,220
Derrick Caracter,04.05.1988,2011,2011,F,205.7,214,275
Derrick Chievous,03.07.1967,1989,1991,F,200.7,,195
Derrick Coleman,21.06.1967,1991,2005,F,208.3,,230
Derrick Dial,20.12.1975,2000,2004,G,193,,184
Derrick Favors,15.07.1991,2011,2018,F-C,208.3,223.5,265
Derrick Gervin,28.03.1963,1990,1991,F,203.2,,200
Derrick Jones,15.02.1997,2017,2018,F,200.7,,190
Derrick McKey,10.10.1966,1988,2002,F-C,205.7,,205
Derrick Phelps,31.07.1972,1995,1995,G,193,,181
Derrick Rose,04.10.1988,2009,2018,G,190.5,203.2,190
Derrick Rowland,21.06.1959,1986,1986,G,195.6,,195
Derrick Walton,03.04.1995,2018,2018,G,185.4,,189
Derrick White,02.07.1994,2018,2018,G,195.6,201.9,190
Derrick Williams,25.05.1991,2012,2017,F,203.2,217.2,240
Derrick Zimmerman,02.12.1981,2006,2006,G,190.5,205.7,195
DeSagana Diop,30.01.1982,2002,2013,C,213.4,229.9,300
DeShawn Stevenson,03.04.1981,2001,2013,G,195.6,,210
Desmon Farmer,07.10.1981,2007,2009,G,195.6,204.5,220
Desmond Ferguson,22.07.1977,2004,2004,G-F,200.7,,203
Desmond Mason,11.10.1977,2001,2010,F,200.7,,224
Desmond Penigar,16.07.1981,2004,2004,F,200.7,,245
Detlef Schrempf,21.01.1963,1986,2001,F-C,205.7,,214
Devean George,29.08.1977,2000,2010,G-F,203.2,,220
Devin Booker,30.10.1996,2016,2018,G,198.1,203.8,206
Devin Brown,30.12.1978,2003,2010,G,195.6,,220
Devin Durrant,20.10.1960,1985,1986,F,200.7,,200
Devin Ebanks,28.10.1989,2011,2013,F,205.7,214,215
Devin Gray,31.05.1972,1997,2000,F,200.7,,240
Devin Green,25.10.1982,2006,2006,G,200.7,,210
Devin Harris,27.02.1983,2005,2018,G,190.5,201.9,192
Devyn Marble,21.09.1992,2015,2016,G-F,198.1,205.7,200
Dewayne Dedmon,12.08.1989,2014,2018,C,213.4,223.5,245
DeWayne Scales,28.12.1958,1981,1984,F,203.2,,208
Dewitt Menyard,24.05.1944,1968,1968,C,208.3,,210
Dexter Boney,27.04.1970,1997,1997,G,193,,185
Dexter Cambridge,29.01.1970,1993,1993,F,200.7,,224
Dexter Pittman,02.03.1988,2011,2014,C,210.8,228.6,308
Dexter Shouse,24.03.1963,1990,1990,G,188,,200
Dexter Westbrook,00.01.1900,1968,1968,F,203.2,,190
Deyonta Davis,02.12.1996,2017,2018,F-C,210.8,219.7,237
Diamond Stone,10.02.1997,2017,2017,C,210.8,220.3,255
Diante Garrett,03.11.1988,2013,2014,G,193,,190
Dick Atha,21.09.1931,1956,1958,G,188,,190
Dick Barnett,02.10.1936,1960,1974,G-F,193,,190
Dick Bunt,13.07.1930,1953,1953,G,182.9,,170
Dick Cunningham,11.07.1946,1969,1975,C,208.3,,245
Dick Dickey,26.10.2026,1952,1952,G,185.4,,175
Dick Duckett,25.03.1933,1958,1958,G,185.4,,185
Dick Farley,13.04.1932,1955,1959,G-F,193,,190
Dick Fitzgerald,18.11.2020,1947,1948,F,188,,175
Dick Garmaker,29.10.1932,1956,1961,G-F,190.5,,200
Dick Garrett,31.01.1947,1970,1974,G,190.5,,185
Dick Gibbs,20.12.1948,1972,1976,F-G,195.6,,210
Dick Groat,04.11.1930,1953,1953,G,180.3,,180
Dick Grubar,26.07.1947,1970,1970,G,193,,184
Dick Hemric,29.08.1933,1956,1957,F,198.1,,220
Dick Holub,29.10.2021,1948,1948,C,198.1,,205
Dick Knostman,09.08.1931,1954,1954,C,198.1,,215
Dick Lee,00.01.1900,1968,1968,F,198.1,,
Dick McGuire,25.01.2026,1950,1960,G,182.9,,180
Dick Mehen,20.05.2022,1950,1952,F-C,195.6,,195
Dick Miller,26.04.1958,1981,1981,F,198.1,,215
Dick Murphy,10.03.2021,1947,1947,G,185.4,,175
Dick Nemelka,01.10.1943,1971,1971,G,182.9,,175
Dick O'Keefe,29.09.2023,1948,1951,G-F,188,,185
Dick Ricketts,04.12.1933,1956,1958,F-C,200.7,,215
Dick Rosenthal,20.01.1930,1955,1957,F-G,195.6,,205
Dick Schnittker,27.05.2028,1951,1958,F,195.6,,200
Dick Schulz,03.01.2017,1947,1950,F-G,188,,192
Dick Shrider,07.02.2023,1949,1949,G,188,,190
Dick Snyder,01.02.1944,1967,1979,G-F,195.6,,207
Dick Surhoff,16.11.2029,1953,1954,F,193,,210
Dick Triptow,03.11.2022,1949,1950,G-F,182.9,,170
Dick Van Arsdale,22.02.1943,1966,1977,G-F,195.6,,210
Dick Wehr,09.12.2025,1949,1949,F,193,,180
Dickey Simpkins,06.04.1972,1995,2002,F,205.7,,248
Didier Ilunga-Mbenga,30.12.1980,2005,2011,C,213.4,,245
Dijon Thompson,23.02.1983,2006,2007,G-F,200.7,207.6,195
Dike Eddleman,27.12.2022,1950,1953,F-G,190.5,,189
Dikembe Mutombo,25.06.1966,1992,2009,C,218.4,,245
Dillard Crocker,19.01.2025,1949,1953,F-G,193,,205
Dillon Brooks,22.01.1996,2018,2018,G-F,198.1,198.1,220
Dino Martin,25.05.2020,1947,1948,G,172.7,,160
Dino Radja,24.04.1967,1994,1997,F-C,210.8,,225
Dion Glover,22.10.1978,2000,2005,G,195.6,,228
Dion Waiters,10.12.1991,2013,2018,G,193,201.3,225
Dionte Christmas,15.09.1986,2014,2014,G,195.6,205.7,205
Dirk Minniefield,17.01.1961,1986,1988,G,190.5,,180
Dirk Nowitzki,19.06.1978,1999,2018,F,213.4,,245
Doc Rivers,13.10.1961,1984,1996,G,193,,185
Dolph Schayes,19.05.2028,1950,1964,F-C,203.2,,220
Domantas Sabonis,03.05.1996,2017,2018,F-C,210.8,,240
Dominic McGuire,20.10.1985,2008,2013,F,205.7,209.6,220
Dominic Pressley,30.05.1964,1989,1989,G,188,,170
Dominique Jones,15.10.1988,2011,2013,G,193,206.4,215
Dominique Wilkins,12.01.1960,1983,1999,F-G,200.7,,200
Don Ackerman,04.09.1930,1954,1954,G,182.9,,183
Don Adams,27.11.1947,1971,1977,F,198.1,,210
Don Anielak,01.11.1930,1955,1955,F,200.7,,190
Don Asmonga,15.02.2028,1954,1954,G,188,,185
Don Barksdale,31.03.2023,1952,1955,F-C,198.1,,200
Don Bielke,00.01.1900,1956,1956,C,200.7,,240
Don Boven,06.03.2025,1950,1953,F-G,193,,210
Don Buse,10.08.1950,1973,1985,G,193,,190
Don Carlos,03.03.1944,1969,1969,G-F,195.6,,210
Don Carlson,22.03.2019,1947,1951,G-F,182.9,,170
Don Chaney,22.03.1946,1969,1980,G,195.6,,210
Don Collins,28.11.1958,1981,1987,F-G,198.1,,190
Don Dee,09.08.1943,1969,1969,F,203.2,,210
Don Eliason,24.07.2018,1947,1947,F,188,,210
Don Ford,31.12.1952,1976,1982,F,205.7,,215
Don Grate,27.08.2023,1950,1950,F-G,188,,185
Don Hanrahan,06.02.2029,1953,1953,F,200.7,,200
Don Henriksen,10.10.2029,1953,1955,F-C,200.7,,225
Don Kojis,15.01.1939,1964,1975,F,195.6,,215
Don Lofgran,08.11.2029,1951,1954,F-C,195.6,,200
Don MacLean,16.01.1970,1993,2001,F,208.3,,235
Don Martin,07.02.2020,1947,1949,C-F,200.7,,210
Don May,03.01.1946,1969,1975,F,193,,200
Don Nelson,15.05.1940,1963,1976,F,198.1,,210
Don Ohl,18.04.1936,1961,1970,G,190.5,,190
Don Otten,18.04.2021,1950,1953,C,208.3,,240
Don Putman,13.11.2022,1947,1950,G,185.4,,170
Don Ray,08.07.2021,1950,1950,F-C,195.6,,190
Don Rehfeldt,07.01.2027,1951,1952,F,200.7,,210
Don Reid,30.12.1973,1996,2003,F,203.2,,250
Don Savage,09.04.2028,1952,1957,F-G,190.5,,205
Don Smith,27.07.2020,1949,1949,G-F,188,,190
Don Smith,27.07.2020,1975,1975,G,182.9,,160
Don Sunderlage,20.12.2029,1954,1955,G,185.4,,180
Donald Hodge,25.02.1969,1992,1996,C,213.4,,230
Donald Royal,22.05.1966,1990,1998,F,203.2,,210
Donald Sidle,21.06.1946,1969,1972,F-C,203.2,,215
Donald Sloan,15.01.1988,2012,2016,G,190.5,,205
Donald Washington,22.04.1952,1975,1976,F,203.2,,210
Donald Whiteside,25.04.1969,1997,1998,G,177.8,,160
Donatas Motiejunas,20.09.1990,2013,2017,F-C,213.4,,222
Donell Taylor,26.07.1982,2006,2007,G,198.1,,180
Donnell Harvey,26.08.1980,2001,2005,F,203.2,214.6,220
Donnie Boyce,02.09.1973,1996,1997,G,195.6,,196
Donnie Butcher,08.02.1936,1962,1966,G,188,,200
Donnie Forman,17.01.2026,1949,1949,G,177.8,,175
Donnie Freeman,18.07.1944,1968,1976,G,190.5,,185
Donny Marshall,17.07.1972,1996,2003,F,200.7,,230
Donovan Mitchell,07.09.1996,2018,2018,G,190.5,208.3,211
Donta Smith,27.11.1983,2005,2006,G-F,200.7,,215
Dontae' Jones,02.06.1975,1998,1998,F,203.2,,220
Donte Greene,21.02.1988,2009,2012,F,210.8,208.3,226
Dontell Jefferson,15.12.1983,2009,2009,G,195.6,,195
Dontonio Wingfield,23.06.1974,1995,1998,F,203.2,,256
Donyell Marshall,18.05.1973,1995,2009,F,205.7,,218
Dorell Wright,02.12.1985,2005,2015,F-G,205.7,,205
Dorian Finney-Smith,04.05.1993,2017,2018,F,203.2,212.7,220
Dorie Murrey,07.09.1943,1967,1972,F-C,203.2,,215
Doron Lamb,06.11.1991,2013,2014,G,193,200,210
Doug Bolstorff,29.10.1931,1958,1958,G,193,,195
Doug Christie,09.05.1970,1993,2007,G-F,198.1,,200
Doug Collins,28.07.1951,1974,1981,G-F,198.1,,180
Doug Edwards,21.01.1971,1994,1996,F,200.7,,220
Doug Holcomb,09.02.2025,1949,1949,F,193,,200
Doug Kistler,21.03.1938,1962,1962,F,205.7,,210
Doug Lee,24.10.1964,1992,1995,G-F,195.6,,200
Doug McDermott,03.01.1992,2015,2018,F,203.2,206.4,225
Doug Moe,21.09.1938,1968,1972,F-G,195.6,,215
Doug Overton,03.08.1969,1993,2004,G,190.5,,190
Doug Roth,24.08.1967,1990,1990,C,210.8,,255
Doug Sims,29.06.1943,1969,1969,F,200.7,,195
Doug Smith,17.09.1969,1992,1996,F,208.3,,220
Doug West,27.05.1967,1990,2001,G-F,198.1,,200
Doyle Parrack,06.12.2021,1947,1947,F-G,182.9,,165
Dragan Bender,17.11.1997,2017,2018,F,215.9,,225
Dragan Tarlac,09.05.1973,2001,2001,C,208.3,,260
Draymond Green,04.03.1990,2013,2018,F,200.7,216.5,230
Drazen Petrovic,22.10.1964,1990,1993,G,195.6,,195
Drew Barry,17.02.1973,1998,2000,G,195.6,,191
Drew Gooden,24.09.1981,2003,2016,F,208.3,214.6,250
Drew Gordon,12.07.1990,2015,2015,F,205.7,212.1,245
Duane Causwell,31.05.1968,1991,2001,C,213.4,,240
Duane Cooper,25.06.1969,1993,1994,G,185.4,,185
Duane Ferrell,28.02.1965,1989,1999,F-G,200.7,,209
Duane Klueh,06.01.2026,1950,1951,G,190.5,,175
Duane Washington,31.08.1964,1988,1993,G,193,,195
Duck Williams,02.08.1956,1980,1980,G,188,,180
Dudley Bradley,19.03.1957,1980,1989,G-F,198.1,,195
Duje Dukan,04.12.1991,2016,2016,F,205.7,,220
Dwaine Dillard,09.03.1949,1976,1976,F,198.1,,230
Dwayne Bacon,30.08.1995,2018,2018,G,198.1,208.3,222
Dwayne Jones,09.06.1983,2006,2010,F-C,210.8,220.3,250
Dwayne McClain,07.02.1963,1986,1986,G,198.1,,185
Dwayne Morton,08.08.1971,1995,1995,F,200.7,,195
Dwayne Polee,02.03.1963,1987,1987,G,195.6,,180
Dwayne Schintzius,14.10.1968,1991,1999,C,215.9,,260
Dwayne Whitfield,21.08.1972,1996,1996,F,205.7,,240
Dwight Anderson,28.12.1960,1983,1983,G,190.5,,185
Dwight Buycks,06.03.1989,2014,2015,G,190.5,,190
Dwight Davis,28.10.1949,1973,1977,F,203.2,,220
Dwight Howard,08.12.1985,2005,2018,C,210.8,224.8,265
Dwight Jones,27.02.1952,1974,1983,F-C,208.3,,210
Dwight Powell,20.07.1991,2015,2018,F-C,210.8,214.6,240
Dwight Waller,05.10.1945,1969,1972,F,198.1,,220
Dwyane Wade,17.01.1982,2004,2018,G,193,210.2,220
Dyron Nix,11.02.1967,1990,1990,F,200.7,,210
E.C. Coleman,25.09.1950,1974,1979,F,203.2,,225
Earl Barron,14.08.1981,2006,2015,C,213.4,,250
Earl Boykins,02.06.1976,1999,2012,G,165.1,,135
Earl Clark,17.01.1988,2010,2015,F,208.3,219.7,225
Earl Cureton,03.09.1957,1981,1997,F-C,205.7,,210
Earl Dodd,01.11.2024,1950,1950,F,195.6,,175
Earl Evans,11.11.1955,1980,1980,F,203.2,,202
Earl Gardner,18.09.2023,1949,1949,F,190.5,,195
Earl Jones,13.01.1961,1985,1986,C,213.4,,210
Earl Lloyd,03.04.2028,1951,1960,F-C,195.6,,200
Earl Monroe,21.11.1944,1968,1980,G,190.5,,185
Earl Shannon,23.11.2021,1947,1949,G-F,180.3,,170
Earl Tatum,26.07.1953,1977,1980,G-F,195.6,,185
Earl Watson,12.06.1979,2002,2014,G,185.4,200,195
Earl Williams,24.03.1951,1975,1979,C-F,200.7,,230
Earle Higgins,30.12.1946,1971,1971,F,203.2,,195
Earnie Killum,11.06.1948,1971,1971,G,190.5,,180
Easy Parham,27.12.2021,1949,1951,F-G,190.5,,200
Ed Bartels,08.10.2025,1950,1951,F,195.6,,195
Ed Beach,25.01.2029,1951,1951,F,190.5,,200
Ed Biedenbach,12.08.1945,1969,1969,G,185.4,,175
Ed Burton,13.08.1939,1962,1965,F,198.1,,225
Ed Conlin,02.09.1933,1956,1962,F-G,195.6,,200
Ed Dahler,31.01.2026,1952,1952,F,195.6,,190
Ed Davis,05.06.1989,2011,2018,F,208.3,213.4,240
Ed Earle,28.04.2027,1954,1954,F,190.5,,190
Ed Fleming,25.07.1933,1956,1960,G-F,190.5,,189
Ed Gayda,11.05.2027,1951,1951,G-F,193,,210
Ed Gray,27.09.1975,1998,1999,G,190.5,,210
Ed Horton,17.12.1967,1990,1990,F,203.2,,230
Ed Johnson,17.06.1944,1969,1971,C,203.2,,205
Ed Kalafat,13.10.1932,1955,1957,C-F,198.1,,245
Ed Kasid,13.08.2023,1947,1947,G,180.3,,185
Ed Leede,17.07.2027,1950,1951,F-G,190.5,,185
Ed Macauley,22.03.2028,1950,1959,C-F,203.2,,185
Ed Manning,02.01.1944,1968,1976,F,200.7,,210
Ed Melvin,13.02.2016,1947,1947,G,175.3,,170
Ed Mikan,20.10.2025,1949,1954,C-F,203.2,,230
Ed Nealy,19.02.1960,1983,1993,F,200.7,,238
Ed O'Bannon,14.08.1972,1996,1997,F,203.2,,222
Ed Peterson,27.06.2024,1950,1951,C,205.7,,220
Ed Pinckney,27.03.1963,1986,1997,F,205.7,,195
Ed Rains,24.12.1956,1982,1983,F,200.7,,190
Ed Ratleff,29.03.1950,1974,1978,F-G,198.1,,195
Ed Sadowski,11.07.2017,1947,1950,C,195.6,,240
Ed Searcy,17.04.1952,1976,1976,F,198.1,,210
Ed Sherod,13.09.1959,1983,1983,G,188,,170
Ed Smith,05.07.2029,1954,1954,F,198.1,,180
Ed Stanczak,15.08.2021,1950,1951,F,185.4,,185
Ed Stokes,03.09.1971,1998,1998,C,213.4,,264
Eddie Basden,15.02.1983,2006,2006,G,195.6,208.9,215
Eddie Gill,16.08.1978,2001,2009,G,182.9,193,190
Eddie Griffin,30.05.1982,2002,2007,F-C,208.3,221,220
Eddie House,14.05.1978,2001,2011,G,185.4,191.8,180
Eddie Hughes,26.05.1960,1988,1990,G,177.8,,165
Eddie Johnson,24.02.1955,1978,1987,G,188,,180
Eddie Johnson,24.02.1955,1982,1999,F-G,200.7,,215
Eddie Jones,20.10.1971,1995,2008,G-F,198.1,,190
Eddie Jordan,29.01.1955,1978,1984,G,185.4,,170
Eddie Lee Wilkins,07.05.1962,1985,1993,F-C,208.3,,220
Eddie Mast,03.10.1948,1971,1973,F-C,205.7,,220
Eddie Miles,05.07.1940,1964,1972,G-F,193,,195
Eddie Miller,18.06.1931,1953,1954,C-F,203.2,,225
Eddie Owens,26.12.1953,1978,1978,F,200.7,,210
Eddie Phillips,29.09.1961,1983,1983,F,200.7,,225
Eddie Robinson,19.04.1976,2000,2004,G-F,203.2,,210
Eddy Curry,05.12.1982,2002,2013,C,213.4,229.9,295
Edgar Jones,17.06.1956,1981,1986,F-C,208.3,,225
Edgar Lacey,02.08.1944,1969,1969,F,198.1,,190
Edmund Lawrence,08.12.1952,1981,1981,C,213.4,,228
Eduardo Najera,11.07.1976,2001,2012,F,203.2,212.1,240
Edwin Ubiles,26.11.1986,2012,2012,G,198.1,,204
Edy Tavares,22.03.1992,2016,2017,C,221,,260
Efthimi Rentzias,11.01.1976,2003,2003,C,210.8,,250
Ekpe Udoh,20.05.1987,2011,2018,C-F,208.3,224.8,240
Elden Campbell,23.07.1968,1991,2005,C,210.8,,215
Eldridge Recasner,14.12.1967,1995,2002,G,190.5,,190
Elfrid Payton,22.02.1994,2015,2018,G,193,203.2,185
Elgin Baylor,16.09.1934,1959,1972,F,195.6,,225
Elias Harris,06.07.1989,2014,2014,F,203.2,,239
Elijah Millsap,12.08.1987,2015,2017,G-F,198.1,,225
Elliot Perry,28.03.1969,1992,2002,G,182.9,,150
Elliot Williams,20.06.1989,2012,2016,G,195.6,,190
Elmer Behnke,03.02.2029,1952,1952,C,200.7,,210
Elmer Bennett,13.02.1970,1995,1997,G,182.9,,170
Elmer Gainer,22.11.2018,1948,1950,F-C,198.1,,195
Elmore Morgenthaler,03.08.2022,1947,1949,C,205.7,,230
Elmore Smith,09.05.1949,1972,1979,C,213.4,,250
Elmore Spencer,06.12.1969,1993,1997,C,213.4,,270
Elnardo Webster,06.03.1948,1972,1972,F,195.6,,190
Elston Turner,10.06.1959,1982,1989,G-F,195.6,,190
Elton Brand,11.03.1979,2000,2016,F,203.2,,275
Elton McGriff,21.08.1942,1968,1969,C,205.7,,225
Elvin Hayes,17.11.1945,1969,1984,F-C,205.7,,235
Elvin Ivory,02.07.1948,1969,1969,F,203.2,,210
Em Bryant,04.11.1938,1965,1972,G,185.4,,175
Emanual Davis,27.08.1968,1997,2003,G,193,,195
Emeka Okafor,28.09.1982,2005,2013,C-F,208.3,223.5,252
Emmanuel Mudiay,05.03.1996,2016,2018,G,195.6,,200
Enes Kanter,20.05.1992,2012,2018,C,210.8,217.2,245
Ennis Whatley,11.08.1962,1984,1997,G,190.5,,177
Eric Anderson,26.05.1970,1993,1994,F,205.7,,220
Eric Bledsoe,09.12.1989,2011,2018,G,185.4,201.9,205
Eric Dawson,07.07.1984,2012,2012,F,205.7,,250
Eric Fernsten,01.11.1953,1976,1984,C-F,208.3,,205
Eric Gordon,25.12.1988,2009,2018,G,193,205.7,215
Eric Johnson,07.02.1966,1990,1990,G,188,,205
Eric Leckner,27.05.1966,1989,1997,C-F,210.8,,265
Eric Maynor,11.06.1987,2010,2014,G,190.5,189.2,175
Eric McWilliams,18.04.1950,1973,1973,F,203.2,,200
Eric Mobley,01.02.1970,1995,1997,C,210.8,,235
Eric Money,06.02.1955,1975,1980,G,182.9,,170
Eric Montross,23.09.1971,1995,2002,C,213.4,,270
Eric Moreland,24.12.1991,2015,2018,F-C,208.3,,238
Eric Murdock,14.06.1968,1992,2000,G,185.4,,190
Eric Piatkowski,30.09.1970,1995,2008,G-F,200.7,,215
Eric Riley,02.06.1970,1994,1999,C,213.4,,245
Eric Snow,24.04.1973,1996,2008,G,190.5,,190
Eric Washington,23.03.1974,1998,1999,G,193,,190
Eric White,30.12.1965,1988,1989,F,203.2,,200
Eric Williams,17.07.1972,1996,2007,F,203.2,224.2,220
Erick Barkley,21.02.1978,2001,2002,G,185.4,,177
Erick Dampier,14.07.1975,1997,2012,C,210.8,,265
Erick Green,09.05.1991,2015,2016,G,193,197.5,185
Erick Strickland,25.11.1973,1997,2005,G,190.5,,210
Erik Daniels,01.04.1982,2005,2005,F,203.2,210.8,214
Erik Murphy,26.10.1990,2014,2014,F,208.3,209.6,230
Ernest Brown,17.05.1979,2002,2002,C,213.4,216.5,244
Ernie Barrett,27.08.2029,1954,1956,G-F,190.5,,180
Ernie Beck,11.12.1931,1954,1961,G-F,193,,190
Ernie Calverley,30.01.2024,1947,1949,G,177.8,,145
Ernie DiGregorio,15.01.1951,1974,1978,G,182.9,,180
Ernie Grunfeld,24.04.1955,1978,1986,G-F,198.1,,210
